tp_rank,step_id,layer_id,queue_wait_us,address_build_us,address_npu_idle_us,address_npu_idle_pct,batch_copy_get_us,copy_npu_idle_us,copy_npu_idle_pct,layer_task_us,layer_task_npu_idle_us,layer_task_npu_idle_pct,model_wait_us,model_wait_npu_idle_us,model_wait_npu_idle_pct,debug_batch_copy_get_us,request_call_count,key_count
0,486,13,851288,87824.47,85286.579,97.1102689261888,,,,302647.9,150881.928,49.853948433146236,228720.9,90300.742,39.480756677680084,200072,20,4555
0,486,14,837558,91963.07,89468.12,97.28700879603083,,,,489848.04,371038.917,75.74571840687574,350727.99,288276.957,82.19388392697144,374649,20,4555
0,486,15,1026337,89582.96,89201.452,99.57412882985783,,,,326339.33,213386.758,65.38799904994596,248911.6,148898.802,59.81995294715071,217638,20,4555
0,486,16,1017571,90738.88,90151.828,99.35303146787793,,,,335233.41,221569.051,66.09396450073399,253928.21,155099.97,61.08024390043155,225255,20,4555
0,486,17,989635,88989.92,88891.058,99.88890651885069,,,,312816.5,199945.91,63.917955095079705,227540.04,125819.52,55.29555149941962,208800,20,4555
0,486,18,869218,89127.75,88469.837,99.26183147224069,,,,351461.04,237388.664,67.54337948809348,257859.74,159675.316,61.92332157009078,247117,20,4555
0,486,19,890198,89941.38,89847.239,99.89533071429413,,,,333084.38,220450.41,66.18455359569849,255633.71,155403.087,60.791312303842865,226390,20,4555
0,486,20,894546,88150.35,88051.568,99.88793918572077,,,,325717.48,212299.191,65.17893697323214,252580.75,149367.073,59.13636450917182,222699,20,4555
0,486,21,903811,88061.84,87973.819,99.90004637650088,,,,343600.26,230099.002,66.96706283051124,271332.71,167361.16,61.681158898976825,240914,20,4555
0,486,22,897278,88379.91,88050.545,99.62733046458182,,,,348985.77,236511.668,67.77114952280145,272896.44,173500.897,63.57755967794962,245493,20,4555
0,486,23,917473,87506.25,86924.018,99.33463952574814,,,,324323.59,211814.922,65.30974882215628,249919.84,150347.26,60.15819312304297,222253,20,4555
0,486,24,917286,91777.14,91002.665,99.15613517701685,,,,319962.05,207735.749,64.92512127610135,240884.83,141605.436,58.78553497951697,212724,20,4555
0,486,25,890020,88801.53,88263.88,99.39454872005021,,,,320842.73,207237.057,64.59147664028417,214253.18,113875.211,53.14983469556905,217348,20,4555
0,486,26,,,,,,,,,,,400.52,0.0,0.0,,,
0,487,0,,,,,,,,,,,21228.76,20463.586,96.39557845112009,,,
0,487,1,347,749609.09,738918.161,98.57379944525485,,,,992742.43,870028.463,87.63889169117108,260721.71,156635.716,60.07774189575543,226003,20,4575
0,487,2,995065,88888.94,88754.777,99.84906671178663,,,,310964.63,197912.669,63.64475245946781,230389.76,128446.217,55.75170398198254,207370,20,4575
0,487,3,1307817,88094.0,85917.535,97.52938338592867,,,,308133.07,195204.689,63.35077536468254,233579.95,134828.113,57.722468473856594,205788,20,4575
0,487,4,851877,89090.49,88995.187,99.89302674168702,,,,303579.77,193505.327,63.74117978941745,226946.78,129836.556,57.210133582860266,200135,20,4575
0,487,5,819453,88303.77,88193.108,99.87468032225576,,,,319923.98,117473.48,36.71918560152947,244656.49,53374.646,21.81615783010702,216683,20,4575
0,487,6,829127,88220.03,85765.882,97.21815102533971,,,,317723.02,133869.834,42.134131168714184,242250.19,72337.955,29.86084551677751,214605,20,4575
0,487,7,836825,88654.42,86013.508,97.02111637524672,,,,316174.3,144115.023,45.580878331983335,244171.29,85441.615,34.99249031284554,212579,20,4575
0,487,8,850820,92561.85,90095.961,97.33595536389991,,,,318212.31,156104.894,49.05683692752176,229792.97,81196.755,35.33474283395179,211030,20,4575
0,487,9,849194,88986.93,86367.036,97.05586651882473,,,,327573.07,174302.185,53.2101692608614,249729.51,110969.712,44.435962734239936,222153,20,4575
0,487,10,860100,88525.08,86124.77,97.28855370703985,,,,335708.72,191381.939,57.00833121046127,255514.27,129918.568,50.84591478980803,232464,20,4575
0,487,11,875527,89518.79,88027.48,98.33408159337274,,,,325838.22,190555.679,58.48168425422899,244024.19,121787.233,49.907852578057934,221880,20,4575
0,487,12,883745,88543.18,86751.843,97.97687749638085,,,,308594.68,185127.914,59.99063690922993,232709.2,122127.237,52.48062259678603,204766,20,4575
0,487,13,861139,87929.14,86255.047,98.09608850945206,,,,328195.87,205601.56,62.64599246785159,253547.15,143094.705,56.437118303242606,225353,20,4575
0,487,14,858144,88996.1,87782.595,98.6364514849527,,,,312216.96,198319.193,63.5196733066647,236862.32,134672.548,56.856889690179514,208896,20,4575
0,487,15,845417,87047.05,85828.425,98.60003871469509,,,,323064.11,207963.867,64.37232133275343,248075.02,146953.624,59.23757418219699,221424,20,4575
0,487,16,860967,89122.2,88523.289,99.32798898590924,,,,316247.09,202110.9,63.90917304567134,235329.35,133609.792,56.7756601545876,209016,20,4575
0,487,17,848745,89144.47,88771.682,99.58181589951681,,,,327728.68,213486.066,65.1410996437663,254363.12,149976.415,58.961540886902156,224312,20,4575
0,487,18,864210,87731.59,87633.888,99.88863532508645,,,,306220.02,193063.764,63.04740101577943,232032.19,130517.754,56.249847919808026,203516,20,4575
0,487,19,846311,88593.73,88504.769,99.8995854447036,,,,303234.07,190231.371,62.73416803065698,1038623.07,935411.733,90.06267625077884,199771,20,4575
