Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,15272.9 ms,3747.9 ms,26823.4 ms,15251.8 ms,21022.5 ms,24476.5 ms,25650.0 ms,26588.7 ms,8
TTFT,total,15272.7 ms,3747.8 ms,26823.3 ms,15251.7 ms,21022.3 ms,24476.4 ms,25649.8 ms,26588.6 ms,8
ITL,total,0.1 ms,0.1 ms,0.2 ms,0.1 ms,0.2 ms,0.2 ms,0.2 ms,0.2 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.0958 token/s,0.0373 token/s,0.2668 token/s,0.0664 token/s,0.1078 token/s,0.1787 token/s,0.2228 token/s,0.258 token/s,8
PrefillTokenThroughput,total,1570.0406 token/s,610.8133 token/s,4371.6686 token/s,1087.3053 token/s,1766.2603 token/s,2927.7811 token/s,3649.7249 token/s,4227.2799 token/s,8
