Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,14671.6 ms,3664.1 ms,25704.2 ms,14625.5 ms,20123.8 ms,23476.9 ms,24590.6 ms,25481.5 ms,8
TTFT,total,14671.5 ms,3663.9 ms,25704.1 ms,14625.4 ms,20123.7 ms,23476.8 ms,24590.5 ms,25481.4 ms,8
ITL,total,0.1 ms,0.1 ms,0.2 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.2 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.0989 token/s,0.0389 token/s,0.2729 token/s,0.0692 token/s,0.1112 token/s,0.1833 token/s,0.2281 token/s,0.264 token/s,8
PrefillTokenThroughput,total,1620.2498 token/s,637.4078 token/s,4471.7222 token/s,1133.0909 token/s,1821.6915 token/s,3003.0945 token/s,3737.4084 token/s,4324.8594 token/s,8
