Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,36533.0 ms,21873.7 ms,51510.2 ms,36374.2 ms,43586.4 ms,48310.7 ms,49910.4 ms,51190.2 ms,8
TTFT,total,19620.7 ms,4731.0 ms,34584.2 ms,19587.2 ms,27005.6 ms,31524.1 ms,33054.1 ms,34278.2 ms,8
TPOT,total,133.2 ms,130.2 ms,135.5 ms,133.1 ms,135.1 ms,135.4 ms,135.4 ms,135.5 ms,8
ITL,total,132.1 ms,0.1 ms,164.5 ms,133.2 ms,138.7 ms,143.6 ms,147.1 ms,156.5 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,8
OutputTokenThroughput,total,3.7769 token/s,2.4849 token/s,5.8518 token/s,3.53 token/s,4.3679 token/s,5.1721 token/s,5.5119 token/s,5.7838 token/s,8
PrefillTokenThroughput,total,1231.4339 token/s,473.7428 token/s,3463.137 token/s,846.5457 token/s,1377.5946 token/s,2310.202 token/s,2886.6695 token/s,3347.8435 token/s,8
