Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,25079.7 ms,3642.6 ms,26748.5 ms,26487.9 ms,26537.7 ms,26589.2 ms,26597.4 ms,26685.1 ms,64
TTFT,total,25079.6 ms,3642.5 ms,26748.4 ms,26487.8 ms,26537.5 ms,26588.5 ms,26597.2 ms,26684.9 ms,64
ITL,total,0.1 ms,0.1 ms,1.5 ms,0.1 ms,0.1 ms,0.1 ms,0.2 ms,0.7 ms,64
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,64
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
OutputTokenThroughput,total,0.0452 token/s,0.0374 token/s,0.2745 token/s,0.0378 token/s,0.0379 token/s,0.0413 token/s,0.0713 token/s,0.1918 token/s,64
PrefillTokenThroughput,total,740.2117 token/s,612.523 token/s,4498.0454 token/s,618.5487 token/s,620.4693 token/s,676.5911 token/s,1168.6551 token/s,3142.4651 token/s,64
