Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,6443.4 ms,1368.1 ms,7183.2 ms,6717.7 ms,6753.5 ms,6907.6 ms,6975.3 ms,7068.4 ms,64
TTFT,total,6443.3 ms,1368.0 ms,7183.1 ms,6717.6 ms,6753.4 ms,6907.5 ms,6975.1 ms,7068.3 ms,64
ITL,total,0.1 ms,0.1 ms,0.2 ms,0.1 ms,0.1 ms,0.1 ms,0.2 ms,0.2 ms,64
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,64
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
OutputTokenThroughput,total,0.1682 token/s,0.1392 token/s,0.7309 token/s,0.1489 token/s,0.1496 token/s,0.1552 token/s,0.2533 token/s,0.5587 token/s,64
PrefillTokenThroughput,total,2755.6226 token/s,2280.9197 token/s,11976.4924 token/s,2438.9638 token/s,2450.652 token/s,2542.4494 token/s,4149.4948 token/s,9154.8621 token/s,64
