Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,19187.8 ms,4543.4 ms,34440.1 ms,19109.6 ms,26270.6 ms,30872.6 ms,32656.4 ms,34083.4 ms,8
TTFT,total,19187.7 ms,4543.2 ms,34440.0 ms,19109.4 ms,26270.5 ms,30872.5 ms,32656.3 ms,34083.3 ms,8
ITL,total,0.1 ms,0.1 ms,0.2 ms,0.1 ms,0.2 ms,0.2 ms,0.2 ms,0.2 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.0775 token/s,0.029 token/s,0.2201 token/s,0.0529 token/s,0.0865 token/s,0.1459 token/s,0.183 token/s,0.2127 token/s,8
PrefillTokenThroughput,total,1269.8994 token/s,475.7252 token/s,3606.2302 token/s,867.4427 token/s,1416.585 token/s,2390.4332 token/s,2998.3317 token/s,3484.6505 token/s,8
