Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,35485.6 ms,21293.2 ms,49578.1 ms,35425.9 ms,42655.5 ms,46881.8 ms,48230.0 ms,49308.5 ms,8
TTFT,total,18727.8 ms,4401.4 ms,32917.3 ms,18788.4 ms,25825.6 ms,30040.0 ms,31478.6 ms,32629.6 ms,8
TPOT,total,132.0 ms,130.1 ms,133.2 ms,132.1 ms,132.6 ms,133.1 ms,133.1 ms,133.2 ms,8
ITL,total,130.9 ms,0.0 ms,178.1 ms,129.4 ms,139.1 ms,146.1 ms,150.3 ms,159.7 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,8
OutputTokenThroughput,total,3.8886 token/s,2.5818 token/s,6.0113 token/s,3.6259 token/s,4.5276 token/s,5.3244 token/s,5.6679 token/s,5.9426 token/s,8
PrefillTokenThroughput,total,1300.8544 token/s,497.7324 token/s,3722.4888 token/s,881.8822 token/s,1445.124 token/s,2447.5878 token/s,3085.0383 token/s,3594.9987 token/s,8
