Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,19664.5 ms,4760.6 ms,34408.8 ms,19659.6 ms,27083.0 ms,31476.4 ms,32942.6 ms,34115.5 ms,8
TTFT,total,19664.2 ms,4760.4 ms,34408.6 ms,19659.0 ms,27082.8 ms,31476.2 ms,32942.4 ms,34115.4 ms,8
ITL,total,0.3 ms,0.1 ms,1.2 ms,0.1 ms,0.2 ms,0.5 ms,0.8 ms,1.1 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.0747 token/s,0.0291 token/s,0.2101 token/s,0.0515 token/s,0.0832 token/s,0.1395 token/s,0.1748 token/s,0.203 token/s,8
PrefillTokenThroughput,total,1223.3384 token/s,476.1597 token/s,3441.7088 token/s,843.2549 token/s,1363.4149 token/s,2285.1879 token/s,2863.4484 token/s,3326.0567 token/s,8
