Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,22236.2 ms,20068.5 ms,39531.1 ms,21076.8 ms,21653.8 ms,23167.7 ms,31086.9 ms,37862.2 ms,64
TTFT,total,4615.4 ms,3161.8 ms,21737.6 ms,3480.2 ms,3698.6 ms,5410.7 ms,13335.8 ms,20080.5 ms,64
TPOT,total,138.7 ms,129.0 ms,142.6 ms,139.1 ms,141.0 ms,142.0 ms,142.2 ms,142.6 ms,64
ITL,total,137.7 ms,0.0 ms,360.0 ms,131.1 ms,137.5 ms,141.3 ms,146.9 ms,298.9 ms,64
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,64
OutputTokens,total,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,64
OutputTokenThroughput,total,5.864 token/s,3.238 token/s,6.3782 token/s,6.073 token/s,6.149 token/s,6.2072 token/s,6.2385 token/s,6.3309 token/s,64
PrefillTokenThroughput,total,4356.1396 token/s,753.7179 token/s,5181.8931 token/s,4707.8117 token/s,4928.4906 token/s,5006.1436 token/s,5061.547 token/s,5165.9857 token/s,64
