Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,19475.8 ms,2854.2 ms,21038.5 ms,20545.2 ms,20758.7 ms,20898.6 ms,20945.9 ms,21022.8 ms,64
TTFT,total,19475.6 ms,2852.6 ms,21038.3 ms,20545.1 ms,20758.5 ms,20898.4 ms,20945.8 ms,21022.7 ms,64
ITL,total,0.2 ms,0.1 ms,1.8 ms,0.1 ms,0.1 ms,0.1 ms,0.2 ms,1.7 ms,64
InputTokens,total,13312.0,13312.0,13312.0,13312.0,13312.0,13312.0,13312.0,13312.0,64
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
OutputTokenThroughput,total,0.0582 token/s,0.0475 token/s,0.3504 token/s,0.0487 token/s,0.0492 token/s,0.0538 token/s,0.0936 token/s,0.2464 token/s,64
PrefillTokenThroughput,total,774.8903 token/s,632.7495 token/s,4666.6181 token/s,647.9417 token/s,655.0484 token/s,716.7849 token/s,1245.6535 token/s,3280.5089 token/s,64
