Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,18634.1 ms,4641.9 ms,32501.2 ms,18669.4 ms,25553.3 ms,29739.1 ms,31120.1 ms,32225.0 ms,8
TTFT,total,18634.0 ms,4641.7 ms,32501.1 ms,18669.3 ms,25553.2 ms,29739.0 ms,31120.0 ms,32224.9 ms,8
ITL,total,0.1 ms,0.1 ms,0.2 ms,0.1 ms,0.1 ms,0.1 ms,0.2 ms,0.2 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.0779 token/s,0.0308 token/s,0.2154 token/s,0.0542 token/s,0.0874 token/s,0.1448 token/s,0.1801 token/s,0.2084 token/s,8
PrefillTokenThroughput,total,1276.4269 token/s,504.1059 token/s,3529.7403 token/s,887.5924 token/s,1432.7417 token/s,2372.464 token/s,2951.1021 token/s,3414.0126 token/s,8
