Performance Parameters,Stage,Average,Min,Max,Median,P75,P90,P95,P99,N
E2EL,total,12302.3 ms,3130.7 ms,21416.2 ms,12343.2 ms,16900.7 ms,19616.2 ms,20516.2 ms,21236.2 ms,8
TTFT,total,12302.2 ms,3130.6 ms,21416.0 ms,12343.1 ms,16900.6 ms,19616.1 ms,20516.0 ms,21236.0 ms,8
ITL,total,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,8
InputTokens,total,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,8
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8
OutputTokenThroughput,total,0.1173 token/s,0.0467 token/s,0.3194 token/s,0.082 token/s,0.1334 token/s,0.2177 token/s,0.2685 token/s,0.3092 token/s,8
PrefillTokenThroughput,total,1922.2033 token/s,765.0347 token/s,5233.4628 token/s,1342.8796 token/s,2185.8393 token/s,3566.5164 token/s,4399.9896 token/s,5066.7681 token/s,8
